config,n,n_answered,n_correct,acc_answered,acc_strict,strict_ci_lo,strict_ci_hi
clean,500,494,421,0.8522,0.842,0.808,0.874
typo25_real10,500,492,424,0.8618,0.848,0.816,0.878
typo25_real40,500,493,425,0.8621,0.85,0.818,0.88
typo25_real70,500,495,408,0.8242,0.816,0.782,0.85
typo50_real10,500,490,403,0.8224,0.806,0.77,0.838
typo50_real40,500,493,406,0.8235,0.812,0.776,0.846
typo50_real70,500,490,405,0.8265,0.81,0.774,0.844
typo75_real10,500,490,397,0.8102,0.794,0.76,0.828
typo75_real40,500,489,379,0.7751,0.758,0.718,0.796
typo75_real70,500,490,365,0.7449,0.73,0.69,0.77
