config,n,n_correct,n_wrong,mean_doubt_correct,mean_doubt_wrong,mean_repair_correct,mean_repair_wrong,sum_doubt_correct,sum_doubt_wrong,sum_repair_correct,sum_repair_wrong
clean,441,374,67,4.326,6.806,0.021,0.075,1618,456,8,5
typo25_real10,481,417,64,4.772,6.781,0.707,1.406,1990,434,295,90
typo25_real40,481,413,68,4.787,6.838,0.84,1.632,1977,465,347,111
typo25_real70,486,400,86,4.835,7.116,1.005,1.837,1934,612,402,158
typo50_real10,480,395,85,5.084,6.706,0.757,1.506,2008,570,299,128
typo50_real40,453,377,76,4.865,6.842,0.897,1.447,1834,520,338,110
typo50_real70,481,399,82,4.97,7.293,1.063,1.89,1983,598,424,155
typo75_real10,481,391,90,5.261,6.922,0.982,1.733,2057,623,384,156
typo75_real40,477,369,108,5.233,6.657,1.217,1.824,1931,719,449,197
typo75_real70,480,360,120,5.314,7.075,1.386,2.192,1913,849,499,263
__all__,4741,3895,846,4.941,6.91,0.884,1.623,19245,5846,3445,1373
__typo__,4300,3521,779,5.006,6.919,0.976,1.756,17627,5390,3437,1368
