config,n,mean_self_doubt,median_self_doubt,frac_self_doubt_ge5,mean_repair_understanding,median_repair_understanding,frac_repair_understanding_ge3,evidence_self_doubt_frac,evidence_repair_frac,sum_self_doubt,sum_repair_understanding
clean,441,4.703,5,0.5918,0.029,0,0.0045,0.9342,0.0159,2074,13
typo25_real10,481,5.04,5,0.657,0.8,1,0.0395,0.9127,0.5946,2424,385
typo25_real40,481,5.077,5,0.6528,0.952,1,0.0665,0.9106,0.6195,2442,458
typo25_real70,486,5.239,5,0.6831,1.152,1,0.0967,0.9259,0.6379,2546,560
typo50_real10,480,5.371,6,0.7,0.89,1,0.0792,0.9208,0.5896,2578,427
typo50_real40,454,5.185,5,0.674,0.987,1,0.0947,0.9075,0.6256,2354,448
typo50_real70,481,5.366,6,0.684,1.204,1,0.1289,0.9064,0.659,2581,579
typo75_real10,481,5.572,6,0.7277,1.123,1,0.1143,0.8898,0.6175,2680,540
typo75_real40,477,5.556,6,0.7191,1.354,1,0.1824,0.9036,0.6289,2650,646
typo75_real70,480,5.754,6,0.7354,1.587,1,0.2292,0.8917,0.6208,2762,762
