config,tok_correct,tok_wrong,wrong_over_correct,n_correct,sum_tok_correct,n_wrong,sum_tok_wrong
clean,1017.6,2026.2,1.991,419,426390,73,147909
typo25_real10,1118.5,1836.5,1.642,424,474228,68,124885
typo25_real40,1111.3,2069.3,1.862,425,472318,68,140710
typo25_real70,1072.9,2015.5,1.8785,408,437757,87,175346
typo50_real10,1181.7,1827.5,1.5465,403,476217,87,158994
typo50_real40,1214.0,2037.4,1.6782,406,492896,87,177254
typo50_real70,1176.4,2033.2,1.7283,405,476443,85,172821
typo75_real10,1236.0,2011.9,1.6277,397,490710,93,187111
typo75_real40,1259.9,1919.2,1.5233,379,477516,110,211116
typo75_real70,1259.7,1994.7,1.5835,365,459783,125,249337
