config,n_answered,sum_tok,mean_tok,median_tok,p90_tok,max_tok
clean,494,576353,1166.7,845.0,2236,8512
typo25_real10,492,599113,1217.7,868.5,2384,8753
typo25_real40,493,613028,1243.5,872,2588,8684
typo25_real70,495,613103,1238.6,875,2694,7092
typo50_real10,490,635211,1296.3,938.5,2615,9068
typo50_real40,493,670226,1359.5,877,2935,9110
typo50_real70,490,649264,1325.0,921.5,2752,8588
typo75_real10,490,677821,1383.3,963.0,2761,7480
typo75_real40,489,688632,1408.2,928,3084,7686
typo75_real70,490,709120,1447.2,988.0,3154,11834
