config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct,2g_n_correct,2g_n_wrong,un_n_correct,un_n_wrong,words_correct,words_wrong
clean,9.087,11.194,1.232,11.381,19.443,1.708,20.467,30.637,1.497,2606,1209,3264,2100,286798,108008
typo25_real10,9.499,12.349,1.3,12.453,19.58,1.572,21.953,31.929,1.454,3071,1093,4026,1733,323283,88508
typo25_real40,9.151,10.329,1.129,11.081,19.052,1.719,20.232,29.381,1.452,2931,1023,3549,1887,320278,99045
typo25_real70,8.868,10.461,1.18,11.189,21.329,1.906,20.056,31.79,1.585,2625,1334,3312,2720,296018,127523
typo50_real10,9.145,10.318,1.128,12.594,19.06,1.513,21.739,29.378,1.351,2990,1106,4118,2043,326971,107189
typo50_real40,9.975,10.358,1.038,12.626,24.133,1.911,22.601,34.491,1.526,3349,1306,4239,3043,335733,126091
typo50_real70,9.058,10.517,1.161,13.216,21.933,1.66,22.274,32.45,1.457,2956,1300,4313,2711,326342,123604
typo75_real10,9.884,10.211,1.033,14.558,21.531,1.479,24.442,31.742,1.299,3293,1364,4850,2876,333160,133575
typo75_real40,9.759,9.933,1.018,15.754,21.986,1.396,25.514,31.919,1.251,3145,1508,5077,3338,322260,151821
typo75_real70,10.021,10.461,1.044,15.903,23.303,1.465,25.924,33.764,1.302,3133,1849,4972,4119,312640,176756
