config,n,n_answered,n_correct,acc_answered,acc_strict,strict_ci_lo,strict_ci_hi
clean,500,500,463,0.926,0.926,0.902,0.948
typo25_real10,500,497,425,0.8551,0.85,0.818,0.88
typo25_real40,500,500,435,0.87,0.87,0.838,0.898
typo25_real70,500,497,431,0.8672,0.862,0.832,0.892
typo50_real10,500,500,398,0.796,0.796,0.76,0.83
typo50_real40,500,500,395,0.79,0.79,0.754,0.824
typo50_real70,500,500,364,0.728,0.728,0.69,0.766
typo75_real10,500,489,363,0.7423,0.726,0.686,0.766
typo75_real40,500,495,333,0.6727,0.666,0.624,0.708
typo75_real70,500,482,308,0.639,0.616,0.572,0.658
