config,n,n_correct,n_wrong,mean_doubt_correct,mean_doubt_wrong,mean_repair_correct,mean_repair_wrong,sum_doubt_correct,sum_doubt_wrong,sum_repair_correct,sum_repair_wrong
clean,480,443,37,4.287,6.486,0.104,0.297,1899,240,46,11
typo25_real10,485,415,70,4.453,7.3,0.557,1.986,1848,511,231,139
typo25_real40,492,428,64,4.619,6.625,0.657,2.062,1977,424,281,132
typo25_real70,489,425,64,4.595,6.484,0.84,2.359,1953,415,357,151
typo50_real10,484,385,99,4.629,7.01,0.904,2.333,1782,694,348,231
typo50_real40,494,391,103,4.583,6.66,1.072,2.136,1792,686,419,220
typo50_real70,494,360,134,4.708,6.627,1.028,2.127,1695,888,370,285
typo75_real10,475,354,121,5.209,6.802,1.147,2.281,1844,823,406,276
typo75_real40,488,328,160,5.32,7.319,1.332,2.844,1745,1171,437,455
typo75_real70,446,285,161,4.772,6.522,1.509,2.814,1360,1050,430,453
__all__,4827,3814,1013,4.692,6.813,0.872,2.323,17895,6902,3325,2353
__typo__,4347,3371,976,4.745,6.826,0.973,2.4,15996,6662,3279,2342
