config,n,mean_self_doubt,median_self_doubt,frac_self_doubt_ge5,mean_repair_understanding,median_repair_understanding,frac_repair_understanding_ge3,evidence_self_doubt_frac,evidence_repair_frac,sum_self_doubt,sum_repair_understanding
clean,480,4.456,4,0.4188,0.119,0,0.0104,0.9271,0.0521,2139,57
typo25_real10,485,4.864,5,0.532,0.763,0,0.1155,0.8454,0.2186,2359,370
typo25_real40,492,4.88,5,0.5203,0.839,0,0.126,0.8923,0.2134,2401,413
typo25_real70,489,4.843,5,0.5031,1.039,0,0.1554,0.8589,0.2965,2368,508
typo50_real10,484,5.116,5,0.5269,1.196,0,0.186,0.8409,0.3264,2476,579
typo50_real40,494,5.016,5,0.5243,1.294,1,0.2105,0.836,0.3927,2478,639
typo50_real70,494,5.229,6,0.5951,1.326,1,0.2085,0.8057,0.3502,2583,655
typo75_real10,475,5.615,6,0.6358,1.436,1,0.24,0.8379,0.4147,2667,682
typo75_real40,488,5.975,8,0.6865,1.828,2,0.3443,0.7971,0.4242,2916,892
typo75_real70,446,5.404,6,0.5897,1.98,2,0.3924,0.7534,0.4283,2410,883
