config,tok_correct,tok_wrong,wrong_over_correct,n_correct,sum_tok_correct,n_wrong,sum_tok_wrong
clean,1411.6,3082.2,2.1834,463,653578,37,114040
typo25_real10,1511.2,4281.4,2.8331,425,642255,72,308258
typo25_real40,1566.9,3470.5,2.2149,435,681617,65,225585
typo25_real70,1537.0,3842.6,2.5,431,662464,66,253613
typo50_real10,1554.0,3855.7,2.4812,398,618476,102,393283
typo50_real40,1631.4,3786.8,2.3212,395,644408,105,397618
typo50_real70,1500.9,3682.5,2.4536,364,546313,136,500818
typo75_real10,1598.2,3559.2,2.227,363,580159,126,448458
typo75_real40,1786.0,4253.2,2.3813,333,594753,162,689014
typo75_real70,1637.9,3588.4,2.1908,311,509400,171,613620
