config,n_answered,sum_tok,mean_tok,median_tok,p90_tok,max_tok
clean,500,767618,1535.2,1211.0,2783,9744
typo25_real10,497,950513,1912.5,1255,4030,17255
typo25_real40,500,907202,1814.4,1229.0,3910,12832
typo25_real70,497,916077,1843.2,1259,3869,12031
typo50_real10,500,1011759,2023.5,1304.0,4561,17512
typo50_real40,500,1042026,2084.1,1299.5,4578,15205
typo50_real70,500,1047131,2094.3,1279.0,4781,14800
typo75_real10,489,1028617,2103.5,1405,3992,12803
typo75_real40,495,1283767,2593.5,1539,6311,13240
typo75_real70,482,1123020,2329.9,1369.0,5237,15252
