config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct,2g_n_correct,2g_n_wrong,un_n_correct,un_n_wrong,words_correct,words_wrong
clean,10.792,13.258,1.229,6.41,10.163,1.585,17.202,23.421,1.362,3852,908,2288,696,356935,68485
typo25_real10,11.926,15.346,1.287,9.456,17.328,1.832,21.382,32.673,1.528,4254,2780,3373,3139,356697,181157
typo25_real40,11.578,14.944,1.291,10.054,19.082,1.898,21.632,34.026,1.573,4384,1986,3807,2536,378660,132900
typo25_real70,11.948,14.798,1.239,9.75,20.684,2.121,21.697,35.482,1.635,4425,2263,3611,3163,370367,152922
typo50_real10,12.671,13.475,1.064,11.271,21.068,1.869,23.941,34.543,1.443,4353,3106,3872,4856,343548,230494
typo50_real40,12.89,13.695,1.063,12.441,20.347,1.635,25.331,34.043,1.344,4601,3257,4441,4839,356956,237820
typo50_real70,12.74,14.184,1.113,12.638,20.959,1.658,25.378,35.143,1.385,3846,4240,3815,6265,301873,298918
typo75_real10,12.323,13.797,1.12,14.537,23.251,1.599,26.861,37.049,1.379,3952,3599,4662,6065,320689,260847
typo75_real40,12.758,13.953,1.094,15.784,25.218,1.598,28.542,39.171,1.372,4274,5728,5288,10353,335016,410533
typo75_real70,11.807,13.715,1.162,15.811,25.806,1.632,27.618,39.521,1.431,3370,5034,4513,9472,285433,367048
