config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace,second_guess_n,uncertainty_n,words
clean,500,11.189,9.52,7.014,5.968,18.203,15.488,4760,2984,425420
typo25_real10,497,13.078,14.153,12.107,13.103,25.185,27.256,7034,6512,537854
typo25_real40,500,12.452,12.74,12.399,12.686,24.851,25.426,6370,6343,511560
typo25_real70,497,12.781,13.457,12.945,13.63,25.726,27.087,6688,6774,523289
typo50_real10,500,12.994,14.918,15.204,17.456,28.198,32.374,7459,8728,574042
typo50_real40,500,13.212,15.716,15.603,18.56,28.814,34.276,7858,9280,594776
typo50_real70,500,13.459,16.172,16.778,20.16,30.237,36.332,8086,10080,600791
typo75_real10,489,12.985,15.442,18.446,21.937,31.431,37.378,7551,10727,581536
typo75_real40,495,13.416,20.206,20.979,31.598,34.395,51.804,10002,15641,745549
typo75_real70,482,12.88,17.436,21.434,29.015,34.314,46.45,8404,13985,652481
