config,tok_correct,tok_wrong,wrong_over_correct,n_correct,sum_tok_correct,n_wrong,sum_tok_wrong
clean,1207.5,2613.2,2.1642,457,551820,42,109754
typo25_real10,1100.1,2235.6,2.0322,418,459835,81,181082
typo25_real40,1086.7,2008.6,1.8484,412,447717,85,170732
typo25_real70,1073.0,2167.2,2.0198,400,429192,99,214557
typo50_real10,1110.3,1981.3,1.7845,381,423015,118,233792
typo50_real40,1022.2,2142.6,2.096,357,364939,142,304249
typo50_real70,1065.3,1918.2,1.8006,339,361142,160,306919
typo75_real10,1224.1,2395.0,1.9565,329,402725,163,390381
typo75_real40,1043.8,2359.0,2.26,312,325669,177,417549
typo75_real70,1132.7,2027.1,1.7895,280,317169,212,429738
