config,n_answered,sum_tok,mean_tok,median_tok,p90_tok,max_tok
clean,499,661574,1325.8,1059,2498,10814
typo25_real10,499,640917,1284.4,765,2290,13012
typo25_real40,497,618449,1244.4,816,2517,13670
typo25_real70,499,643749,1290.1,785,2436,18797
typo50_real10,499,656807,1316.2,716,2815,12365
typo50_real40,499,669188,1341.1,729,2657,14424
typo50_real70,499,668061,1338.8,734,3185,11591
typo75_real10,492,793106,1612.0,789.5,4396,12037
typo75_real40,489,743218,1519.9,736,3957,9788
typo75_real70,492,746907,1518.1,732.0,3682,13459
