config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct,2g_n_correct,2g_n_wrong,un_n_correct,un_n_wrong,words_correct,words_wrong
clean,10.146,14.116,1.391,5.608,12.814,2.285,15.755,26.931,1.709,2920,889,1614,807,287787,62976
typo25_real10,10.489,12.977,1.237,8.248,18.475,2.24,18.737,31.451,1.679,2420,1206,1903,1717,230719,92937
typo25_real40,10.281,10.535,1.025,7.653,15.159,1.981,17.934,25.694,1.433,2308,991,1718,1426,224494,94067
typo25_real70,10.43,12.462,1.195,7.984,17.827,2.233,18.414,30.29,1.645,2247,1403,1720,2007,215436,112580
typo50_real10,10.118,11.476,1.134,9.183,16.468,1.793,19.301,27.944,1.448,2111,1398,1916,2006,208647,121815
typo50_real40,9.937,10.915,1.098,10.512,18.633,1.773,20.449,29.548,1.445,1747,1830,1848,3124,175801,167657
typo50_real70,10.394,12.131,1.167,10.79,17.186,1.593,21.184,29.317,1.384,1839,2035,1909,2883,176928,167753
typo75_real10,9.879,13.772,1.394,10.44,21.136,2.025,20.319,34.908,1.718,2008,2990,2122,4589,203256,217113
typo75_real40,9.017,12.487,1.385,10.818,22.804,2.108,19.835,35.291,1.779,1432,2945,1718,5378,158810,235837
typo75_real70,10.251,10.943,1.067,14.823,24.482,1.652,25.074,35.424,1.413,1637,2575,2367,5761,159685,235319
