config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace,second_guess_n,uncertainty_n,words
clean,499,10.859,7.633,6.902,4.852,17.761,12.485,3809,2421,350763
typo25_real10,499,11.203,7.267,11.185,7.255,22.388,14.521,3626,3620,323656
typo25_real40,497,10.356,6.638,9.869,6.326,20.225,12.964,3299,3144,318561
typo25_real70,499,11.128,7.315,11.362,7.469,22.49,14.784,3650,3727,328016
typo50_real10,499,10.618,7.032,11.868,7.86,22.487,14.892,3509,3922,330462
typo50_real40,499,10.415,7.168,14.476,9.964,24.891,17.132,3577,4972,343458
typo50_real70,499,11.239,7.764,13.903,9.603,25.142,17.367,3874,4792,344681
typo75_real10,492,11.89,10.159,15.965,13.64,27.854,23.799,4998,6711,420369
typo75_real40,489,11.091,8.951,17.981,14.511,29.072,23.462,4377,7096,394647
typo75_real70,492,10.663,8.561,20.577,16.52,31.24,25.081,4212,8128,395004
