config,n,n_answered,n_correct,acc_answered,acc_strict,strict_ci_lo,strict_ci_hi
clean,500,500,470,0.94,0.94,0.918,0.96
typo25_real10,500,491,427,0.8697,0.854,0.822,0.884
typo25_real40,500,489,421,0.8609,0.842,0.81,0.874
typo25_real70,500,489,417,0.8528,0.834,0.8,0.866
typo50_real10,500,490,387,0.7898,0.774,0.736,0.814
typo50_real40,500,481,361,0.7505,0.722,0.68,0.762
typo50_real70,500,492,360,0.7317,0.72,0.678,0.76
typo75_real10,500,481,362,0.7526,0.724,0.686,0.762
typo75_real40,500,474,323,0.6814,0.646,0.606,0.688
typo75_real70,500,466,290,0.6223,0.58,0.538,0.626
