config,tok_correct,tok_wrong,wrong_over_correct,n_correct,sum_tok_correct,n_wrong,sum_tok_wrong
clean,1361.4,4065.4,2.9862,470,639853,30,121961
typo25_real10,1592.2,3750.9,2.3558,427,679872,64,240055
typo25_real40,1543.3,3791.5,2.4567,421,649739,68,257821
typo25_real70,1544.5,3641.7,2.3579,417,644042,72,262201
typo50_real10,1601.4,3380.2,2.1107,387,619757,103,348159
typo50_real40,1592.6,3346.3,2.1012,361,574920,120,401554
typo50_real70,1659.5,3690.6,2.2239,360,597417,132,487156
typo75_real10,1680.0,3524.2,2.0977,362,608164,119,419381
typo75_real40,1739.0,3804.4,2.1877,323,561696,151,574457
typo75_real70,1787.6,3393.7,1.8985,290,518398,176,597290
