config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct,2g_n_correct,2g_n_wrong,un_n_correct,un_n_wrong,words_correct,words_wrong
clean,11.079,13.305,1.201,6.044,11.642,1.926,17.124,24.947,1.457,3831,944,2090,826,345779,70950
typo25_real10,12.397,12.904,1.041,11.352,17.167,1.512,23.749,30.071,1.266,4744,1892,4344,2517,382667,146620
typo25_real40,12.057,15.004,1.244,11.316,19.165,1.694,23.373,34.169,1.462,4360,2326,4092,2971,361614,155025
typo25_real70,12.202,13.443,1.102,11.523,16.975,1.473,23.725,30.418,1.282,4369,2116,4126,2672,358066,157407
typo50_real10,12.06,14.928,1.238,13.178,22.089,1.676,25.238,37.016,1.467,4195,3179,4584,4704,347851,212960
typo50_real40,12.081,14.205,1.176,11.747,21.334,1.816,23.829,35.539,1.491,3908,3349,3800,5030,323474,235770
typo50_real70,12.09,14.056,1.163,14.46,24.866,1.72,26.551,38.922,1.466,4106,4222,4911,7469,339615,300372
typo75_real10,12.767,13.694,1.073,15.214,24.765,1.628,27.982,38.459,1.374,4346,3544,5179,6409,340402,258792
typo75_real40,12.569,13.809,1.099,15.435,26.066,1.689,28.004,39.875,1.424,3999,4760,4911,8985,318166,344702
typo75_real70,12.299,12.92,1.05,17.515,24.99,1.427,29.815,37.91,1.272,3662,4647,5215,8988,297737,359664
