config,tok_correct,tok_wrong,wrong_over_correct,n_correct,sum_tok_correct,n_wrong,sum_tok_wrong
clean,1338.0,3148.5,2.3532,461,616816,38,119644
typo25_real10,1425.5,3684.4,2.5845,427,608708,71,261589
typo25_real40,1411.3,3056.1,2.1654,435,613937,64,195592
typo25_real70,1402.4,3407.2,2.4294,424,594638,72,245316
typo50_real10,1417.8,3342.8,2.3578,390,552929,101,337618
typo50_real40,1413.4,2910.1,2.0589,364,514492,123,357941
typo50_real70,1474.5,3544.6,2.4039,368,542630,129,457250
typo75_real10,1765.3,3677.7,2.0834,350,617839,146,536938
typo75_real40,1595.2,3309.3,2.0745,319,508865,162,536101
typo75_real70,1733.1,3504.4,2.0221,305,528586,172,602761
