config,n_answered,sum_tok,mean_tok,median_tok,p90_tok,max_tok
clean,499,736460,1475.9,1178,2429,14374
typo25_real10,498,870297,1747.6,1189.0,3521,15526
typo25_real40,499,809529,1622.3,1179,2970,12683
typo25_real70,496,839954,1693.5,1190.0,3548,12899
typo50_real10,491,890547,1813.7,1211,3824,19443
typo50_real40,487,872433,1791.4,1170,3887,20000
typo50_real70,497,999880,2011.8,1227,4958,17142
typo75_real10,496,1154777,2328.2,1429.0,5507,12967
typo75_real40,481,1044966,2172.5,1342,5114,14785
typo75_real70,477,1131347,2371.8,1412,5688,12236
