config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct,2g_n_correct,2g_n_wrong,un_n_correct,un_n_wrong,words_correct,words_wrong
clean,11.161,13.947,1.25,6.083,14.76,2.427,17.243,28.707,1.665,3734,979,2035,1036,334566,70192
typo25_real10,12.363,13.558,1.097,10.158,19.454,1.915,22.52,33.012,1.466,4126,2095,3390,3006,333743,154520
typo25_real40,11.857,13.682,1.154,9.961,18.419,1.849,21.818,32.101,1.471,3983,1574,3346,2119,335919,115042
typo25_real70,11.865,14.809,1.248,9.612,20.228,2.104,21.477,35.037,1.631,3887,2208,3149,3016,327607,149099
typo50_real10,12.124,13.243,1.092,11.334,20.42,1.802,23.458,33.663,1.435,3653,2583,3415,3983,301310,195052
typo50_real40,12.129,12.988,1.071,11.793,20.362,1.727,23.923,33.35,1.394,3392,2582,3298,4048,279650,198803
typo50_real70,11.967,13.766,1.15,12.842,22.15,1.725,24.809,35.916,1.448,3572,3734,3833,6008,298477,271243
typo75_real10,12.585,13.684,1.087,16.494,24.597,1.491,29.079,38.281,1.316,4315,4361,5655,7839,342856,318695
typo75_real40,12.729,13.251,1.041,17.08,24.147,1.414,29.808,37.398,1.255,3566,4125,4785,7517,280155,311303
typo75_real70,12.545,13.076,1.042,18.798,26.565,1.413,31.343,39.64,1.265,3738,4712,5601,9573,297964,360368
