config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace,second_guess_n,uncertainty_n,words
clean,499,11.644,9.445,7.587,6.154,19.231,15.599,4713,3071,404758
typo25_real10,498,12.741,12.492,13.099,12.843,25.841,25.335,6221,6396,488263
typo25_real40,499,12.323,11.136,12.119,10.952,24.441,22.088,5557,5465,450961
typo25_real70,496,12.786,12.288,12.932,12.429,25.718,24.718,6095,6165,476706
typo50_real10,491,12.563,12.701,14.904,15.067,27.468,27.768,6236,7398,496362
typo50_real40,487,12.486,12.267,15.354,15.084,27.84,27.351,5974,7346,478453
typo50_real70,497,12.824,14.7,17.273,19.801,30.097,34.501,7306,9841,569720
typo75_real10,496,13.115,17.492,20.398,27.206,33.512,44.698,8676,13494,661551
typo75_real40,481,13.003,15.99,20.799,25.576,33.803,41.565,7691,12302,591458
typo75_real70,477,12.835,17.715,23.049,31.811,35.885,49.526,8450,15174,658332
