config,n,n_answered,n_correct,acc_answered,acc_strict,strict_ci_lo,strict_ci_hi
clean,500,496,472,0.9516,0.944,0.924,0.964
typo25_real10,500,495,465,0.9394,0.93,0.906,0.95
typo25_real40,500,498,465,0.9337,0.93,0.906,0.952
typo25_real70,500,494,464,0.9393,0.928,0.904,0.948
typo50_real10,500,498,462,0.9277,0.924,0.9,0.946
typo50_real40,500,498,455,0.9137,0.91,0.884,0.934
typo50_real70,500,496,454,0.9153,0.908,0.882,0.932
typo75_real10,500,494,440,0.8907,0.88,0.85,0.908
typo75_real40,500,496,437,0.881,0.874,0.844,0.9
typo75_real70,500,497,432,0.8692,0.864,0.832,0.892
