config,n,n_correct,n_wrong,mean_doubt_correct,mean_doubt_wrong,mean_repair_correct,mean_repair_wrong,sum_doubt_correct,sum_doubt_wrong,sum_repair_correct,sum_repair_wrong
clean,464,441,23,3.587,5.0,0.011,0.435,1582,115,5,10
typo25_real10,463,434,29,3.673,5.172,0.212,0.931,1594,150,92,27
typo25_real40,447,419,28,3.84,5.821,0.298,1.286,1609,163,125,36
typo25_real70,455,427,28,3.848,5.643,0.377,1.286,1643,158,161,36
typo50_real10,460,429,31,3.96,5.484,0.266,1.097,1699,170,114,34
typo50_real40,446,406,40,3.786,6.125,0.259,1.45,1537,245,105,58
typo50_real70,454,415,39,3.636,6.564,0.265,1.436,1509,256,110,56
typo75_real10,456,403,53,3.541,5.509,0.211,1.642,1427,292,85,87
typo75_real40,459,404,55,3.886,5.818,0.334,1.236,1570,320,135,68
typo75_real70,460,396,64,3.801,6.188,0.475,1.516,1505,396,188,97
__all__,4564,4174,390,3.755,5.808,0.268,1.305,15675,2265,1120,509
__typo__,4100,3733,367,3.775,5.858,0.299,1.36,14093,2150,1115,499
