config,tok_correct,tok_wrong,wrong_over_correct,n_correct,sum_tok_correct,n_wrong,sum_tok_wrong
clean,2803.4,5351.7,1.909,472,1323224,24,128441
typo25_real10,2826.0,4783.0,1.6925,465,1314088,30,143491
typo25_real40,2900.4,6074.8,2.0945,465,1348681,33,200469
typo25_real70,2859.1,5046.8,1.7652,464,1326605,30,151403
typo50_real10,2763.4,5191.0,1.8785,462,1276697,36,186877
typo50_real40,2838.6,5694.0,2.0059,455,1291565,43,244842
typo50_real70,2854.5,5599.5,1.9617,454,1295922,42,235179
typo75_real10,2786.8,4235.8,1.52,440,1226180,54,228733
typo75_real40,2881.0,4931.9,1.7118,437,1259007,59,290980
typo75_real70,2911.5,4639.5,1.5935,432,1257750,65,301568
