config,n_answered,sum_tok,mean_tok,median_tok,p90_tok,max_tok
clean,496,1451665,2926.7,2317.0,5689,14397
typo25_real10,495,1457579,2944.6,2354,5810,12417
typo25_real40,498,1549150,3110.7,2361.5,5990,16219
typo25_real70,494,1478008,2991.9,2261.5,5712,14082
typo50_real10,498,1463574,2938.9,2317.5,5174,15267
typo50_real40,498,1536407,3085.2,2349.0,5851,16547
typo50_real70,496,1531101,3086.9,2295.5,5908,14559
typo75_real10,494,1454913,2945.2,2350.0,5419,16258
typo75_real40,496,1549987,3125.0,2359.5,5986,15195
typo75_real70,497,1559318,3137.5,2352,5833,16050
