config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct,2g_n_correct,2g_n_wrong,un_n_correct,un_n_wrong,words_correct,words_wrong
clean,10.512,12.776,1.215,6.278,10.646,1.696,16.789,23.422,1.395,6624,864,3956,720,630160,67628
typo25_real10,10.065,11.695,1.162,6.488,10.456,1.612,16.552,22.151,1.338,6348,850,4092,760,630729,72683
typo25_real40,11.158,15.54,1.393,6.914,10.532,1.523,18.072,26.072,1.443,7154,1685,4433,1142,641145,108429
typo25_real70,11.043,14.299,1.295,7.6,12.604,1.658,18.644,26.903,1.443,6986,1122,4808,989,632597,78466
typo50_real10,10.336,14.644,1.417,6.926,13.634,1.968,17.262,28.278,1.638,6372,1435,4270,1336,616506,97990
typo50_real40,10.736,12.948,1.206,7.417,14.514,1.957,18.153,27.462,1.513,6660,1704,4601,1910,620347,131601
typo50_real70,10.718,14.894,1.39,7.257,13.775,1.898,17.975,28.668,1.595,6623,1916,4484,1772,617927,128643
typo75_real10,10.274,14.686,1.429,6.774,13.905,2.053,17.048,28.591,1.677,5970,1750,3936,1657,581072,119163
typo75_real40,10.289,14.344,1.394,7.312,15.03,2.055,17.601,29.375,1.669,6205,2259,4410,2367,603089,157482
typo75_real70,10.188,13.452,1.32,7.957,13.92,1.75,18.145,27.372,1.509,6172,2184,4820,2260,605783,162354
