config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace,second_guess_n,uncertainty_n,words
clean,496,10.731,15.097,6.701,9.427,17.432,24.524,7488,4676,697788
typo25_real10,495,10.233,14.541,6.898,9.802,17.131,24.343,7198,4852,703412
typo25_real40,498,11.792,17.749,7.438,11.195,19.23,28.944,8839,5575,749574
typo25_real70,494,11.403,16.413,8.153,11.735,19.555,28.148,8108,5797,711063
typo50_real10,498,10.927,15.677,7.846,11.257,18.773,26.934,7807,5606,714496
typo50_real40,498,11.123,16.795,8.659,13.074,19.782,29.869,8364,6511,751948
typo50_real70,496,11.438,17.216,8.38,12.613,19.817,29.829,8539,6256,746570
typo75_real10,494,11.025,15.628,7.987,11.322,19.012,26.949,7720,5593,700235
typo75_real40,496,11.128,17.065,8.91,13.663,20.039,30.728,8464,6777,760571
typo75_real70,497,10.878,16.813,9.217,14.245,20.095,31.058,8356,7080,768137
